Date,Collar,Closure,Flux,NRMSE,PAR
2021-05-14,C5,1,-0.2825347231918961,0.04358530749986681,1403.1128275862068
2021-05-14,C5,2,-0.11306276429135122,0.0684725898781342,780.890294117647
2021-05-14,C5,3,-0.015908912027630444,0.23826076612115554,510.10148148148136
2021-05-14,C5,4,0.10072733515306499,0.0825172234567718,254.73985815602836
2021-05-14,C5,5,0.3149481138067416,0.026633772719412408,0.5072388059701493
2021-05-14,C6,1,-0.35291900141670285,0.045432828631181525,1366.06992481203
2021-05-14,C6,2,-0.1676327477524323,0.057461100503401384,726.3735074626865
2021-05-14,C6,3,-0.012964236166804607,0.2131271529261813,418.6998591549295
2021-05-14,C6,4,0.1819158952224884,0.06212242084237913,233.47430656934304
2021-05-14,C6,5,0.116313172762144,0.06963250086490566,236.27777777777777
